temperature,humidity,horizontal_radiation,normal_radiation,heating,cooling,ventilation,gains
12.07,82.7,41.83,12.94,0.0,0.0,0,138.6
12.0,83.93,75.25,0.0,0.0,0.0,0,138.6
11.95,84.65,75.75,0.0,0.0,0.0,0,138.6
12.03,85.46,69.75,0.0,0.0,0.0,0,138.6
11.98,85.52,72.83,3.4,0.0,0.0,0,138.6
11.75,84.85,61.83,23.16,0.0,0.0,0,138.6
11.48,83.68,20.08,37.07,0.0,0.0,0,138.6
11.19,82.9,1.06,2.62,0.0,0.0,0,138.6
10.96,81.52,0.0,0.0,0.0,0.0,0,138.6
11.04,78.05,0.0,0.0,0.0,0.0,0,138.6
10.86,76.02,0.0,0.0,11.65,0.0,0,138.6
10.19,79.55,0.0,0.0,48.54,0.0,0,138.6
10.23,79.85,0.0,0.0,40.19,0.0,0,138.6
10.51,76.8,0.0,0.0,16.73,0.0,0,138.6
10.4,73.18,0.0,0.0,28.56,0.0,0,138.6
10.21,70.19,0.0,0.0,34.19,0.0,0,138.6
10.04,69.66,0.0,0.0,36.39,0.0,0,138.6
9.97,68.07,0.0,0.0,54.83,0.0,0,138.6
10.09,68.23,0.0,0.0,45.82,0.0,0,138.6
9.8,73.04,0.0,0.0,35.56,0.0,0,138.6
9.38,78.58,0.0,0.0,70.22,0.0,0,138.6
9.52,79.32,0.0,0.0,42.74,0.0,0,138.6
9.72,79.27,11.36,98.11,41.46,0.0,0,138.6
9.94,80.16,65.42,442.48,0.0,0.0,0,138.6
10.4,79.82,116.92,388.48,0.0,0.0,0,138.6
11.03,77.18,122.0,536.01,0.0,0.0,0,138.6
11.34,74.82,133.0,526.32,0.0,0.0,0,138.6
11.22,76.14,130.5,427.7,0.0,0.0,0,138.6
11.03,79.08,119.75,89.57,0.0,0.0,0,138.6
10.92,79.7,78.67,121.8,0.0,0.0,0,138.6
10.97,78.31,23.67,89.74,0.0,0.0,0,138.6
10.92,78.18,1.22,5.8100000000000005,0.0,0.0,0,138.6
10.71,80.58,0.0,0.0,11.84,0.0,0,138.6
10.62,83.05,0.0,0.0,28.27,0.0,0,138.6
10.67,83.89,0.0,0.0,24.27,0.0,0,138.6
10.93,81.94,0.0,0.0,5.04,0.0,0,138.6
11.28,77.52,0.0,0.0,16.76,0.0,0,138.6
11.73,72.57,0.0,0.0,2.8,0.0,0,138.6
12.04,70.11,0.0,0.0,0.0,0.0,0,138.6
12.07,70.15,0.0,0.0,0.0,0.0,0,138.6
11.98,70.55,0.0,0.0,0.0,0.0,0,138.6
11.85,70.94,0.0,0.0,0.0,0.0,0,138.6
11.76,71.76,0.0,0.0,0.0,0.0,0,138.6
11.74,72.55,0.0,0.0,0.0,0.0,0,138.6
